num,cn,id,rn
0,19,0.001621,264
1,27,0.001044,276
2,19,0,287
3,25,0,287
4,18,0,287
5,20,0.000567,281
6,16,0.004373,254
7,16,0.010812,178
8,16,0.010812,178
9,15,0.008244,148
10,14,0.006938,158
11,9,0.0009,188
12,13,0.000643,82
13,13,0.000643,82
14,5,0.000435,235
15,5,0.002106,244
16,17,0.001118,82
17,1,0,244
18,14,0.002707,202
19,10,0.000628,212
20,19,0.007793,212
21,19,0.006776,223
22,8,0.00053,200
23,13,0.004079,207
24,7,0.000249,200
25,7,0.000182,200
26,7,0.000182,200
27,11,0.000467,269
28,11,0.007991,258
29,8,0.000267,269
30,16,0.004471,190
31,15,0.010228,228
32,10,0.005252,244
33,5,0.00017,223
34,6,0.000239,281
35,4,0,278
36,7,0.000282,284
37,4,0.000155,211
38,6,0.005355,213
39,6,0,82
40,7,0.001962,235
41,2,0.00057,244
43,3,0.000047,244
44,7,0.000617,226
45,4,0.001467,69
46,4,0.001467,69
47,2,0,69
48,2,0,69
49,2,0,69
50,2,0,69
51,2,0,69
52,4,0.010469,69
53,2,0,69
54,2,0,69
55,2,0,69
56,2,0,69
57,12,0.007205,69
58,12,0.007205,69
59,10,0.012108,69
60,14,0.002454,69
61,14,0.002454,69
62,20,0.084105,69
63,6,0.023012,69
64,28,0.171424,69
65,4,0,69
66,2,0,69
67,4,0.010469,69
68,10,0.039439,69
69,6,0.002766,69
70,6,0.002766,69
71,14,0.062556,69
72,6,0.009946,69
73,16,0.09435,69
74,6,0.000112,69
75,6,0.010469,69
76,2,0,69
77,6,0.010037,69
78,8,0.005667,69
79,10,0.00213,69
80,6,0.000772,69
81,4,0.009778,69
82,18,0.010446,69
83,6,0.013978,69
84,20,0.021235,69
85,20,0.008125,69
86,17,0.006525,69
87,22,0.019003,69
88,25,0.023993,69
89,17,0.042241,69
90,4,0.001395,69
91,10,0.016304,69
92,10,0.014499,69
93,20,0.052526,69
94,5,0.003677,69
95,37,0,287
96,8,0.014142,69
97,8,0.014142,69
98,8,0.006249,69
99,10,0.029856,69
101,6,0.021078,69
102,5,0.006013,69
100,2,0,69
103,0,0,287
104,0,0,287
105,0,0,287
106,0,0,287
107,0,0,287
108,0,0,287
109,0,0,287
110,0,0,287
111,0,0,287
112,0,0,287
113,0,0,287
114,0,0,287
115,0,0,287
116,0,0,287
117,0,0,287
118,0,0,287
119,0,0,287
120,0,0,287
