col1,col2
0,264
1,276
2,287
3,287
4,287
5,281
6,254
7,178
8,178
9,148
10,158
11,188
12,82
13,82
14,235
15,244
16,82
17,244
18,202
19,212
20,212
21,223
22,200
23,207
24,200
25,200
26,200
27,269
28,258
29,269
30,190
31,228
32,244
33,223
34,281
35,278
36,284
37,211
38,213
39,82
40,235
41,244
43,244
44,226
45,69
46,69
47,69
48,69
49,69
50,69
51,69
52,69
53,69
54,69
55,69
56,69
57,69
58,69
59,69
60,69
61,69
62,69
63,69
64,69
65,69
66,69
67,69
68,69
69,69
70,69
71,69
72,69
73,69
74,69
75,69
76,69
77,69
78,69
79,69
80,69
81,69
82,69
83,69
84,69
85,69
86,69
87,69
88,69
89,69
90,69
91,69
92,69
93,69
94,69
95,287
96,69
97,69
98,69
99,69
101,69
102,69
100,69
103,287
104,287
105,287
106,287
107,287
108,287
109,287
110,287
111,287
112,287
113,287
114,287
115,287
116,287
117,287
118,287
119,287
120,287
