Date,Average,month,day,year
1/1/18,10,January,1,2018
2/1/18,16,February,1,2018
3/1/18,20,March,1,2018
4/1/18,30,April,1,2018
5/1/18,54,May,1,2018
6/1/18,56,June,1,2018
7/1/18,28,July,1,2018
8/1/18,58,August,1,2018
9/1/18,87,September,1,2018
10/1/18,49,October,1,2018
11/1/18,95,November,1,2018
12/1/18,89,December,1,2018
1/1/19,85,January,1,2019
2/1/19,79,February,1,2019
3/1/19,100,March,1,2019
4/1/19,105,April,1,2019
5/1/19,150,May,1,2019
6/1/19,145,June,1,2019
7/1/19,98,July,1,2019
8/1/19,102,August,1,2019
9/1/19,106,September,1,2019
10/1/19,110,October,1,2019
